Order_ID,Order_Date,Restaurant_Name,Restaurant_Location,Food_Item,Cuisine,Price,Quantity,Total_Amount,Payment_Method,Customer_ID,Customer_Age,Customer_Gender,Delivery_Time,Customer_Rating,Review_Text
39,1/20/2025,Sizzler Station,Mumbai,Pasta Alfredo,Italian,365,4,1460,Cash,13531,44,F,52,3,Excellent service!
40,3/16/2025,Spice Villa,Chennai,Lasagna,Italian,377,2,754,Net Banking,16126,40,F,40,2,Highly recommended.
41,3/27/2025,Sizzler Station,Pune,Fries,American,438,1,438,Cash,16721,57,M,21,2,Food was cold.
42,5/13/2025,Vegan Vibes,Pune,Spring Rolls,Chinese,472,1,472,Cash,14037,59,M,62,1,Not satisfied.
43,1/1/2025,Urban Tadka,Ahmedabad,Hotdog,American,286,3,858,Cash,17330,56,M,41,4,Quick delivery!
44,4/1/2025,Taco Town,Chennai,Fries,American,290,1,290,Wallet,15191,24,M,47,2,Food was cold.
45,5/18/2025,Noodle Nest,Chennai,Manchurian,Chinese,329,1,329,Wallet,14057,58,M,23,2,Quick delivery!
46,4/30/2025,Taco Town,Chennai,Nachos,Mexican,202,3,606,Net Banking,14663,58,F,35,2,Portion size was small.
47,1/13/2025,Spice Villa,Bangalore,Caesar Salad,Continental,280,2,560,Credit Card,16585,33,F,40,3,Would order again.
48,6/20/2025,Pizza Point,Pune,Spring Rolls,Chinese,136,2,272,UPI,14940,26,F,52,2,Loved the food.
49,3/2/2025,Taco Town,Jaipur,Nachos,Mexican,582,3,1746,Cash,11259,49,M,57,1,Quick delivery!
50,5/21/2025,Burger Barn,Bangalore,Hotdog,American,291,1,291,Net Banking,14089,20,M,63,2,Would order again.
51,3/19/2025,Taco Town,Jaipur,Grilled Chicken,Continental,200,4,800,Wallet,15779,58,F,23,3,Highly recommended.
52,1/17/2025,Vegan Vibes,Chennai,Caesar Salad,Continental,105,4,420,Wallet,16834,39,F,48,3,Excellent service!
53,3/5/2025,Biryani House,Jaipur,Burritos,Mexican,477,2,954,Credit Card,15772,59,M,24,4,Portion size was small.
54,3/16/2025,Burger Barn,Delhi,Burger,American,361,3,1083,UPI,10981,49,F,39,3,Portion size was small.
55,3/28/2025,Curry Palace,Lucknow,Chicken Biryani,Indian,129,3,387,UPI,14356,22,M,71,3,Highly recommended.
56,1/10/2025,Taco Town,Chennai,Fries,American,503,1,503,Credit Card,16911,29,M,26,4,Average experience.
57,5/4/2025,Noodle Nest,Jaipur,Lasagna,Italian,577,2,1154,Net Banking,10800,44,M,66,3,Food was cold.
58,6/16/2025,Spice Villa,Ahmedabad,Fried Rice,Chinese,198,4,792,UPI,11573,59,M,58,4,Portion size was small.
59,1/19/2025,Urban Tadka,Lucknow,Manchurian,Chinese,335,4,1340,UPI,14236,53,F,71,3,Would order again.
60,1/11/2025,Burger Barn,Ahmedabad,Burritos,Mexican,270,1,270,Net Banking,12303,30,M,58,5,Not satisfied.
61,4/21/2025,Burger Barn,Mumbai,Pasta Alfredo,Italian,377,2,754,UPI,12280,52,F,26,3,Quick delivery!
62,6/28/2025,Taco Town,Lucknow,Pizza Margherita,Italian,238,3,714,UPI,17400,26,F,73,4,Food was cold.
63,5/4/2025,Burger Barn,Pune,Pasta Alfredo,Italian,348,3,1044,Net Banking,11238,53,M,22,5,Highly recommended.
64,6/22/2025,Biryani House,Jaipur,Fries,American,410,3,1230,UPI,16609,52,M,62,3,Excellent service!
65,1/15/2025,Taco Town,Lucknow,Lasagna,Italian,237,4,948,Cash,14251,38,F,40,4,Quick delivery!
66,1/13/2025,Sizzler Station,Delhi,Lasagna,Italian,178,2,356,Cash,17993,49,F,61,3,Would order again.
67,6/20/2025,Burger Barn,Kolkata,Fried Rice,Chinese,478,4,1912,UPI,12326,20,M,29,4,Highly recommended.
68,1/27/2025,Curry Palace,Ahmedabad,Hakka Noodles,Chinese,454,2,908,UPI,10777,23,M,51,4,Good taste but slow delivery.
69,1/11/2025,Curry Palace,Kolkata,Pasta Alfredo,Italian,109,1,109,UPI,11485,51,M,67,3,Food was cold.
70,6/4/2025,Spice Villa,Hyderabad,Hotdog,American,110,3,330,UPI,17102,26,F,30,3,Excellent service!
71,2/23/2025,Noodle Nest,Pune,Steak,Continental,314,3,942,UPI,14221,29,M,31,1,Food was cold.
72,3/28/2025,Biryani House,Hyderabad,Caesar Salad,Continental,583,4,2332,UPI,17630,54,M,46,5,Excellent service!
73,5/7/2025,Biryani House,Delhi,Nachos,Mexican,176,2,352,UPI,11011,58,M,65,3,Good taste but slow delivery.
74,4/5/2025,Biryani House,Kolkata,Hakka Noodles,Chinese,234,1,234,Cash,15769,57,F,64,4,Quick delivery!
75,3/3/2025,Curry Palace,Jaipur,Fried Rice,Chinese,589,4,2356,Wallet,16636,37,F,21,5,Food was cold.
76,1/16/2025,Curry Palace,Pune,Fries,American,289,1,289,Wallet,15438,52,F,58,4,Quick delivery!
77,5/30/2025,Curry Palace,Delhi,Caesar Salad,Continental,561,2,1122,Credit Card,14485,53,F,60,4,Loved the food.
78,5/11/2025,Sizzler Station,Delhi,Pasta Alfredo,Italian,155,4,620,Wallet,12648,50,M,70,5,Highly recommended.
79,1/31/2025,Sizzler Station,Pune,Fries,American,443,1,443,UPI,12855,18,F,65,2,Food was cold.
80,2/14/2025,Spice Villa,Ahmedabad,Pizza Margherita,Italian,220,3,660,Credit Card,17612,20,M,38,3,Quick delivery!
81,6/24/2025,Noodle Nest,Delhi,Burritos,Mexican,465,1,465,Wallet,17016,49,F,69,4,Highly recommended.
82,5/9/2025,Vegan Vibes,Mumbai,Tacos,Mexican,110,1,110,Credit Card,11020,58,M,58,3,Portion size was small.
83,4/9/2025,Vegan Vibes,Lucknow,Caesar Salad,Continental,101,2,202,Credit Card,13740,25,F,47,3,Quick delivery!
84,6/22/2025,Curry Palace,Ahmedabad,Nachos,Mexican,213,3,639,Cash,11591,18,F,22,2,Excellent service!
85,2/14/2025,Taco Town,Lucknow,Hotdog,American,159,2,318,Wallet,15516,47,M,41,3,Portion size was small.
86,2/15/2025,Taco Town,Lucknow,Pizza Margherita,Italian,262,3,786,Credit Card,11531,46,M,22,3,Good taste but slow delivery.
87,3/7/2025,Noodle Nest,Ahmedabad,Manchurian,Chinese,334,4,1336,Cash,10618,57,F,46,5,Loved the food.
88,5/13/2025,Taco Town,Hyderabad,Grilled Chicken,Continental,183,3,549,Cash,16381,59,M,36,3,Excellent service!
89,6/27/2025,Vegan Vibes,Mumbai,Nachos,Mexican,568,4,2272,Cash,17353,59,F,57,3,Excellent service!
90,3/26/2025,Vegan Vibes,Jaipur,Manchurian,Chinese,288,4,1152,Cash,15832,41,F,23,2,Not satisfied.
91,5/8/2025,Burger Barn,Kolkata,Spring Rolls,Chinese,257,4,1028,Cash,16063,19,M,44,4,Not satisfied.
92,6/8/2025,Sizzler Station,Ahmedabad,Manchurian,Chinese,201,4,804,Cash,13778,26,M,52,3,Loved the food.
93,3/31/2025,Pizza Point,Pune,Steak,Continental,428,1,428,Net Banking,11714,33,M,57,1,Excellent service!
94,3/21/2025,Taco Town,Pune,Spring Rolls,Chinese,289,2,578,Cash,15984,31,M,33,1,Quick delivery!
95,4/18/2025,Sizzler Station,Ahmedabad,Grilled Chicken,Continental,438,4,1752,Net Banking,14158,51,F,49,4,Highly recommended.
96,2/21/2025,Sizzler Station,Ahmedabad,Pizza Margherita,Italian,186,1,186,Net Banking,12636,44,M,70,3,Excellent service!
97,3/27/2025,Urban Tadka,Hyderabad,Lasagna,Italian,392,4,1568,Net Banking,13955,45,M,63,3,Highly recommended.
98,1/24/2025,Spice Villa,Lucknow,Burritos,Mexican,172,3,516,Cash,11778,26,M,25,4,Not satisfied.
99,1/19/2025,Pizza Point,Mumbai,Pizza Margherita,Italian,374,1,374,Wallet,16100,44,F,50,5,Highly recommended.
100,5/2/2025,Biryani House,Mumbai,Pizza Margherita,Italian,592,2,1184,Wallet,14845,26,M,59,3,Would order again.
101,5/12/2025,Pizza Point,Mumbai,Tacos,Mexican,310,1,310,Credit Card,11014,41,M,43,2,Good taste but slow delivery.
102,4/25/2025,Vegan Vibes,Lucknow,Tacos,Mexican,535,3,1605,Credit Card,17033,39,M,27,4,Portion size was small.
103,2/2/2025,Noodle Nest,Chennai,Dal Makhani,Indian,102,3,306,Net Banking,11814,54,M,32,4,Portion size was small.
104,5/17/2025,Spice Villa,Pune,Fries,American,450,2,900,Net Banking,17520,20,F,48,5,Portion size was small.
105,3/5/2025,Curry Palace,Bangalore,Hakka Noodles,Chinese,534,4,2136,UPI,14315,55,F,67,4,Quick delivery!
106,6/1/2025,Sizzler Station,Pune,Tandoori Chicken,Indian,240,4,960,Credit Card,14882,28,M,68,4,Not satisfied.
107,2/3/2025,Curry Palace,Ahmedabad,Butter Naan,Indian,344,2,688,Cash,16596,50,M,75,5,Food was cold.
108,4/22/2025,Curry Palace,Bangalore,Paneer Butter Masala,Indian,178,4,712,Net Banking,11161,26,M,46,4,Good taste but slow delivery.
109,3/8/2025,Taco Town,Pune,Tandoori Chicken,Indian,401,3,1203,Wallet,12338,35,M,29,3,Quick delivery!
110,4/24/2025,Vegan Vibes,Chennai,Nachos,Mexican,249,3,747,Wallet,15157,47,F,58,1,Average experience.
111,5/4/2025,Noodle Nest,Bangalore,Nachos,Mexican,200,3,600,UPI,11959,44,F,46,2,Highly recommended.
112,6/11/2025,Sizzler Station,Pune,Pasta Alfredo,Italian,245,1,245,Wallet,10706,34,M,69,3,Portion size was small.
113,5/4/2025,Taco Town,Kolkata,Dal Makhani,Indian,437,3,1311,Net Banking,15247,35,F,43,2,Loved the food.
114,4/18/2025,Taco Town,Chennai,Pasta Alfredo,Italian,196,1,196,UPI,11180,53,M,41,5,Average experience.
115,3/25/2025,Spice Villa,Delhi,Tacos,Mexican,374,2,748,Net Banking,15809,53,M,21,1,Average experience.
116,2/5/2025,Spice Villa,Pune,Hakka Noodles,Chinese,140,4,560,Cash,16770,27,M,28,2,Average experience.
117,2/21/2025,Sizzler Station,Ahmedabad,Fries,American,210,4,840,Cash,13031,21,F,52,4,Would order again.
118,1/25/2025,Burger Barn,Pune,Spring Rolls,Chinese,167,4,668,Credit Card,10217,43,F,39,3,Portion size was small.
119,3/21/2025,Spice Villa,Bangalore,Caesar Salad,Continental,569,3,1707,Credit Card,14984,53,M,54,1,Good taste but slow delivery.
120,6/14/2025,Sizzler Station,Chennai,Grilled Chicken,Continental,431,3,1293,UPI,11170,27,M,42,3,Highly recommended.
121,5/9/2025,Spice Villa,Delhi,Pasta Alfredo,Italian,463,2,926,Credit Card,11403,37,M,58,3,Would order again.
122,3/30/2025,Urban Tadka,Jaipur,Chicken Biryani,Indian,458,1,458,Net Banking,11889,38,M,31,4,Food was cold.
123,4/25/2025,Sizzler Station,Mumbai,Manchurian,Chinese,283,2,566,UPI,14832,41,M,69,2,Quick delivery!
124,1/28/2025,Sizzler Station,Hyderabad,Chicken Biryani,Indian,461,2,922,Wallet,17340,32,F,48,2,Loved the food.
125,3/17/2025,Sizzler Station,Delhi,Pasta Alfredo,Italian,144,1,144,UPI,16796,33,F,68,1,Not satisfied.
126,5/2/2025,Vegan Vibes,Hyderabad,Pizza Margherita,Italian,279,1,279,Wallet,14760,29,F,23,1,Loved the food.
127,2/18/2025,Taco Town,Jaipur,Burritos,Mexican,234,1,234,UPI,14223,60,F,60,4,Loved the food.
128,3/16/2025,Noodle Nest,Kolkata,Manchurian,Chinese,301,4,1204,UPI,10857,56,M,69,4,Excellent service!
129,2/7/2025,Noodle Nest,Pune,Paneer Butter Masala,Indian,315,2,630,Cash,12470,28,M,41,4,Loved the food.
130,6/23/2025,Noodle Nest,Delhi,Dal Makhani,Indian,327,4,1308,Wallet,14037,43,F,21,3,Loved the food.
131,4/16/2025,Spice Villa,Ahmedabad,Caesar Salad,Continental,134,1,134,Credit Card,18000,59,M,60,5,Good taste but slow delivery.
132,1/15/2025,Curry Palace,Jaipur,Lasagna,Italian,537,4,2148,Cash,17292,30,M,41,4,Loved the food.
133,6/21/2025,Curry Palace,Bangalore,Hakka Noodles,Chinese,131,3,393,Cash,15352,25,F,63,2,Excellent service!
134,4/29/2025,Urban Tadka,Mumbai,Butter Naan,Indian,580,4,2320,Credit Card,15191,31,M,61,4,Quick delivery!
135,2/13/2025,Curry Palace,Bangalore,Spring Rolls,Chinese,176,1,176,Credit Card,11668,18,M,69,4,Good taste but slow delivery.
136,6/17/2025,Urban Tadka,Jaipur,Hotdog,American,105,2,210,Cash,12076,31,M,74,4,Good taste but slow delivery.
137,1/27/2025,Taco Town,Hyderabad,Burritos,Mexican,193,4,772,Net Banking,11596,36,F,57,4,Portion size was small.
138,6/15/2025,Biryani House,Jaipur,Burritos,Mexican,340,1,340,UPI,11126,42,F,69,2,Portion size was small.
139,3/24/2025,Burger Barn,Chennai,Pizza Margherita,Italian,305,3,915,Credit Card,11024,56,M,55,3,Portion size was small.
140,2/17/2025,Noodle Nest,Ahmedabad,Pizza Margherita,Italian,196,3,588,Cash,11480,52,M,71,2,Would order again.
141,4/26/2025,Vegan Vibes,Lucknow,Steak,Continental,409,3,1227,Cash,11567,20,M,51,3,Would order again.
142,4/20/2025,Pizza Point,Chennai,Hotdog,American,121,1,121,Cash,17581,22,F,24,3,Highly recommended.
143,6/28/2025,Pizza Point,Kolkata,Steak,Continental,154,1,154,Wallet,12229,47,M,51,3,Food was cold.
144,6/13/2025,Taco Town,Pune,Caesar Salad,Continental,203,1,203,Cash,16787,50,F,69,2,Average experience.
145,2/28/2025,Taco Town,Mumbai,Tacos,Mexican,366,4,1464,UPI,10012,39,M,20,1,Loved the food.
146,6/4/2025,Curry Palace,Hyderabad,Pasta Alfredo,Italian,571,2,1142,Credit Card,10087,19,F,36,3,Excellent service!
147,6/2/2025,Spice Villa,Hyderabad,Burger,American,219,2,438,Cash,17271,21,F,65,4,Quick delivery!
148,4/14/2025,Noodle Nest,Kolkata,Lasagna,Italian,114,1,114,Cash,13912,21,F,34,3,Portion size was small.
149,6/24/2025,Biryani House,Bangalore,Hotdog,American,480,3,1440,Wallet,15616,33,M,60,5,Loved the food.
150,3/2/2025,Spice Villa,Jaipur,Lasagna,Italian,316,1,316,Net Banking,11821,55,M,68,4,Quick delivery!
151,6/23/2025,Biryani House,Ahmedabad,Tandoori Chicken,Indian,111,1,111,Wallet,11803,46,F,49,2,Portion size was small.
152,6/9/2025,Taco Town,Bangalore,Lasagna,Italian,489,1,489,Net Banking,17455,55,M,58,2,Not satisfied.
153,1/26/2025,Urban Tadka,Jaipur,Lasagna,Italian,305,1,305,Wallet,12801,45,F,50,2,Average experience.
154,3/10/2025,Pizza Point,Delhi,Fries,American,162,2,324,Net Banking,14942,32,M,39,4,Highly recommended.
155,5/19/2025,Curry Palace,Chennai,Butter Naan,Indian,556,2,1112,Wallet,13792,39,F,63,4,Portion size was small.
156,3/15/2025,Biryani House,Pune,Paneer Butter Masala,Indian,203,2,406,Credit Card,10612,39,M,25,2,Would order again.
157,1/13/2025,Curry Palace,Chennai,Lasagna,Italian,257,4,1028,UPI,17182,49,M,43,5,Loved the food.
158,4/15/2025,Pizza Point,Jaipur,Butter Naan,Indian,556,1,556,Net Banking,11066,21,F,35,2,Good taste but slow delivery.
159,2/12/2025,Pizza Point,Ahmedabad,Butter Naan,Indian,308,3,924,UPI,17037,41,F,27,3,Good taste but slow delivery.
160,2/12/2025,Spice Villa,Ahmedabad,Spring Rolls,Chinese,225,1,225,Net Banking,17150,33,F,62,4,Good taste but slow delivery.
161,2/21/2025,Burger Barn,Chennai,Steak,Continental,337,4,1348,UPI,10491,29,F,66,5,Food was cold.
162,1/23/2025,Noodle Nest,Pune,Fried Rice,Chinese,249,3,747,Cash,14918,48,F,39,5,Would order again.
163,3/23/2025,Curry Palace,Ahmedabad,Pizza Margherita,Italian,231,2,462,Cash,10810,18,F,46,3,Loved the food.
164,3/24/2025,Biryani House,Ahmedabad,Caesar Salad,Continental,493,1,493,Cash,14034,22,F,49,5,Food was cold.
165,1/8/2025,Noodle Nest,Bangalore,Hotdog,American,200,1,200,Net Banking,12168,53,M,74,3,Not satisfied.
166,1/16/2025,Sizzler Station,Chennai,Hotdog,American,466,1,466,Credit Card,17404,29,M,69,3,Portion size was small.
167,5/27/2025,Vegan Vibes,Bangalore,Nachos,Mexican,105,2,210,Credit Card,15398,23,F,40,1,Not satisfied.
168,3/1/2025,Taco Town,Chennai,Grilled Chicken,Continental,116,4,464,Credit Card,14574,49,F,50,2,Highly recommended.
169,3/28/2025,Pizza Point,Kolkata,Chicken Biryani,Indian,242,4,968,UPI,11895,22,F,49,5,Good taste but slow delivery.
170,6/29/2025,Biryani House,Mumbai,Manchurian,Chinese,594,2,1188,Cash,11049,58,M,53,5,Highly recommended.
171,3/31/2025,Taco Town,Bangalore,Fries,American,457,2,914,Credit Card,17487,26,F,44,4,Not satisfied.
172,6/21/2025,Taco Town,Ahmedabad,Fries,American,268,2,536,Credit Card,10123,55,M,70,2,Food was cold.
173,1/5/2025,Pizza Point,Lucknow,Pizza Margherita,Italian,180,3,540,Wallet,17998,28,M,65,2,Excellent service!
174,1/22/2025,Burger Barn,Kolkata,Paneer Butter Masala,Indian,589,3,1767,Cash,14477,23,M,35,4,Would order again.
175,3/28/2025,Taco Town,Bangalore,Tandoori Chicken,Indian,110,1,110,Net Banking,16588,42,F,29,5,Good taste but slow delivery.
176,1/19/2025,Urban Tadka,Lucknow,Tacos,Mexican,511,4,2044,UPI,15764,19,M,61,3,Loved the food.
177,3/20/2025,Pizza Point,Bangalore,Lasagna,Italian,384,3,1152,Wallet,14224,41,M,24,4,Would order again.
178,4/12/2025,Noodle Nest,Jaipur,Chicken Biryani,Indian,469,2,938,UPI,13889,58,F,47,4,Not satisfied.
179,3/1/2025,Urban Tadka,Chennai,Lasagna,Italian,567,1,567,UPI,11439,45,M,75,5,Highly recommended.
180,5/29/2025,Biryani House,Hyderabad,Grilled Chicken,Continental,119,1,119,Wallet,15091,60,M,63,5,Would order again.
181,6/4/2025,Spice Villa,Chennai,Tacos,Mexican,544,2,1088,Cash,17805,30,F,32,3,Would order again.
182,4/12/2025,Vegan Vibes,Ahmedabad,Steak,Continental,236,1,236,Net Banking,12089,44,F,70,3,Quick delivery!
183,6/7/2025,Sizzler Station,Ahmedabad,Burritos,Mexican,239,3,717,Wallet,13327,59,F,42,2,Average experience.
184,6/4/2025,Biryani House,Bangalore,Butter Naan,Indian,251,2,502,UPI,16372,41,F,23,3,Food was cold.
185,1/14/2025,Pizza Point,Chennai,Burger,American,100,4,400,Wallet,16650,25,F,58,2,Loved the food.
186,1/14/2025,Vegan Vibes,Kolkata,Burger,American,330,2,660,Net Banking,10226,34,F,52,4,Excellent service!
187,4/26/2025,Taco Town,Chennai,Burritos,Mexican,327,2,654,Credit Card,14348,52,M,33,4,Average experience.
188,5/8/2025,Sizzler Station,Mumbai,Hotdog,American,486,4,1944,Credit Card,10988,37,F,47,4,Food was cold.
189,5/16/2025,Noodle Nest,Jaipur,Steak,Continental,171,2,342,Net Banking,12769,22,F,36,2,Would order again.
190,2/22/2025,Curry Palace,Mumbai,Steak,Continental,112,3,336,UPI,17663,57,M,67,2,Highly recommended.
191,2/27/2025,Pizza Point,Ahmedabad,Pasta Alfredo,Italian,344,4,1376,Wallet,14979,37,F,41,3,Average experience.
192,6/24/2025,Curry Palace,Hyderabad,Tandoori Chicken,Indian,163,1,163,Cash,10716,26,M,20,3,Quick delivery!
193,1/19/2025,Biryani House,Pune,Fries,American,255,3,765,Net Banking,15974,31,M,53,3,Not satisfied.
194,3/12/2025,Noodle Nest,Hyderabad,Hakka Noodles,Chinese,474,1,474,Credit Card,17202,58,F,72,2,Loved the food.
195,1/12/2025,Urban Tadka,Hyderabad,Manchurian,Chinese,173,2,346,Credit Card,15752,28,M,45,4,Highly recommended.
196,6/7/2025,Urban Tadka,Jaipur,Burritos,Mexican,342,2,684,Wallet,15129,59,M,56,4,Highly recommended.
197,1/27/2025,Burger Barn,Delhi,Fried Rice,Chinese,454,1,454,UPI,17310,60,F,56,4,Average experience.
198,5/14/2025,Burger Barn,Chennai,Fries,American,356,2,712,Cash,12329,51,F,24,3,Would order again.
199,5/7/2025,Noodle Nest,Jaipur,Burger,American,101,1,101,UPI,11064,59,F,44,3,Good taste but slow delivery.
200,3/24/2025,Biryani House,Lucknow,Manchurian,Chinese,252,4,1008,Wallet,13569,35,F,32,2,Excellent service!
201,3/31/2025,Burger Barn,Ahmedabad,Caesar Salad,Continental,286,4,1144,Wallet,14008,57,M,60,5,Highly recommended.
202,6/27/2025,Sizzler Station,Ahmedabad,Hotdog,American,286,3,858,Wallet,12330,29,M,74,3,Average experience.
203,6/6/2025,Curry Palace,Mumbai,Grilled Chicken,Continental,557,1,557,Wallet,11038,38,M,65,5,Good taste but slow delivery.
204,3/1/2025,Vegan Vibes,Chennai,Tacos,Mexican,530,2,1060,Wallet,15749,26,F,40,4,Quick delivery!
205,5/8/2025,Taco Town,Pune,Tandoori Chicken,Indian,302,4,1208,Wallet,11640,32,M,43,3,Quick delivery!
206,6/17/2025,Spice Villa,Ahmedabad,Nachos,Mexican,241,1,241,Credit Card,14870,32,F,60,5,Excellent service!
207,1/2/2025,Taco Town,Lucknow,Tacos,Mexican,158,3,474,Credit Card,13977,33,F,56,1,Loved the food.
208,6/7/2025,Burger Barn,Ahmedabad,Dal Makhani,Indian,352,4,1408,Credit Card,14455,57,F,22,1,Good taste but slow delivery.
209,6/22/2025,Biryani House,Jaipur,Tacos,Mexican,434,3,1302,UPI,14504,47,F,37,3,Food was cold.
210,6/3/2025,Pizza Point,Bangalore,Spring Rolls,Chinese,354,1,354,Cash,12970,40,M,75,5,Good taste but slow delivery.
211,3/27/2025,Taco Town,Bangalore,Manchurian,Chinese,136,4,544,UPI,14122,57,F,53,4,Average experience.
212,3/30/2025,Taco Town,Bangalore,Butter Naan,Indian,574,4,2296,Credit Card,17981,41,M,58,3,Good taste but slow delivery.
213,5/3/2025,Sizzler Station,Ahmedabad,Tandoori Chicken,Indian,580,3,1740,Wallet,17793,50,M,58,3,Loved the food.
214,6/16/2025,Vegan Vibes,Bangalore,Steak,Continental,308,1,308,Net Banking,13888,47,F,24,1,Good taste but slow delivery.
215,1/16/2025,Noodle Nest,Jaipur,Butter Naan,Indian,306,1,306,Wallet,14867,46,M,54,3,Food was cold.
216,2/18/2025,Curry Palace,Pune,Tacos,Mexican,521,3,1563,Net Banking,17813,52,M,30,2,Portion size was small.
217,4/4/2025,Burger Barn,Chennai,Dal Makhani,Indian,298,3,894,Net Banking,14997,50,F,55,3,Portion size was small.
218,3/20/2025,Spice Villa,Bangalore,Grilled Chicken,Continental,179,2,358,Net Banking,10454,29,F,32,4,Not satisfied.
